what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1323368576741
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1323368576742
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1323368576742
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1323368576742
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1323368576742
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1323368576742
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1323368576742
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1323368576742
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1323368576742
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1323368576743
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1323368576743
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323368576743
os,sysinfo,,,"macosx",1323368576745
arch,sysinfo,,,"x86",1323368576745
ws,sysinfo,,,"cocoa",1323368576745
locale,sysinfo,,,"en_US",1323368576745
processors,sysinfo,,,"2",1323368576745
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323368576745
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1323368576745
java.specification.name,sysinfo,,,"Java Platform API Specification",1323368576745
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323368576745
java.specification.version,sysinfo,,,"1.6",1323368576745
java.vendor,sysinfo,,,"Apple Inc.",1323368576745
java.version,sysinfo,,,"1.6.0_29",1323368576745
java.vm.info,sysinfo,,,"mixed mode",1323368576745
